employee_id,employee_name,department,designation,grade,manager_name,completeness_rate,effectiveness_score,engagement_score,eng_sig_completion_rate,eng_sig_pass_rate,eng_sig_avg_score,eng_sig_feedback,eng_sig_speed,verified_certs,is_first_time_voucher,voucher_eligibility,voucher_priority_rank,_view_refreshed_ts
E10166,Diya Rao,Enterprise Applications,Developer,P1,Rohan Joshi,100,88,86.3,100,100,88,88,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10116,Sneha Nair,Digital Engineering,Software Engineer,P1,Anjali Patel,100,90,86.8,100,100,90,88,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10190,Neha Patel,Bi & Analytics,Senior Analyst,P2,Karan Gupta,100,88,74.7,100,100,88,0,21,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10235,Anjali Pandey,Data Engineering,Senior Data Engineer,P2,Amit Desai,100,85,73.1,100,100,85,0,11,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10255,Nidhi Verma,Bi & Analytics,Analyst,P1,Karan Gupta,100,83,72.75,100,100,83,0,11.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10204,Arjun Banerjee,Data Engineering,Data Engineer,P1,Sneha Iyer,100,76,74.2,100,100,76,0,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10159,Vikram Mehta,Bi & Analytics,Trainee,P1,Priya Sharma,100,83,85.75,100,100,83,84,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10194,Priya Desai,Cloud & Platform,Trainee,P1,Vikram Rao,100,94,77.8,100,100,94,0,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10135,Ayaan Kumar,Enterprise Applications,Developer,P1,Rohan Joshi,100,83,85.6,100,100,83,84,14,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10288,Ayaan Mishra,Bi & Analytics,Contractor,P1,Priya Sharma,100,76,70.9,100,100,76,0,7,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10163,Aditya Patel,Cloud & Platform,Senior Cloud Engineer,P2,Vikram Rao,100,85,89.3,100,100,85,82,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10273,Anjali Gupta,Ai & Data Science,Trainee,P1,Neha Singh,100,81,76.4,100,100,81,0,52,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10138,Tanya Reddy,Data Engineering,Senior Data Engineer,P2,Amit Desai,100,78,83.7,100,100,78,84,5,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10185,Aarav Shah,Domain Consulting,Trainee,P1,Meera Reddy,100,92,74.5,100,100,92,0,11,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10263,Diya Dubey,Enterprise Applications,Developer,P1,Rohan Joshi,100,93,78.6,100,100,93,0,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10121,Vikram Chatterjee,Domain Consulting,Senior Consultant,P2,Meera Reddy,100,89,94.4,100,100,89,94,75,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10270,Rahul Singh,Bi & Analytics,Senior Analyst,P2,Priya Sharma,100,78,72.5,100,100,78,0,19,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10208,Atharva Pandey,Bi & Analytics,Trainee,P1,Priya Sharma,100,86,72.85,100,100,86,0,6.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10212,Ayaan Jain,Cloud & Platform,Senior Cloud Engineer,P2,Vikram Rao,100,90,76.85,100,100,90,0,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10112,Meera Rao,Ai & Data Science,Data Scientist,P1,Neha Singh,100,86,89.55,100,100,86,84,47.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10216,Reyansh Singh,Enterprise Applications,Senior Developer,P2,Rohan Joshi,100,77,71,100,100,77,0,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10182,Aditi Tiwari,Enterprise Applications,Trainee,P1,Rohan Joshi,100,94,77.65,100,100,94,0,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10131,Atharva Shah,Cloud & Platform,Contractor,P1,Vikram Rao,100,93,95.9,100,100,93,96,79,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10222,Vivaan Desai,Bi & Analytics,Senior Analyst,P2,Priya Sharma,100,78,74.95,100,100,78,0,43.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10245,Riya Patel,Digital Engineering,Software Engineer,P1,Anjali Patel,100,92,74.5,100,100,92,0,11,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10107,Vivaan Singh,Data Engineering,Data Engineer,P1,Sneha Iyer,100,93,87.55,100,100,93,86,10.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10172,Isha Pillai,Data Engineering,Data Engineer,P1,Amit Desai,100,86,76.35,100,100,86,0,41.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10151,Rohan Das,Enterprise Applications,Developer,P1,Rohan Joshi,100,85,92.9,100,100,85,96,65,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10286,Shaurya Bose,Bi & Analytics,Analyst,P1,Priya Sharma,100,88,73.25,100,100,88,0,6.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10154,Sneha Dubey,Data Engineering,Data Engineer,P1,Amit Desai,100,88,90.55,100,100,88,92,41.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10193,Rahul Rao,Ai & Data Science,Senior Data Scientist,P2,Neha Singh,100,89,77.8,100,100,89,0,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10115,Amit Iyer,Cloud & Platform,Senior Cloud Engineer,P2,Vikram Rao,100,85,86,100,100,85,84,14,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10282,Ishaan Verma,Domain Consulting,Trainee,P1,Meera Reddy,100,78,74.45,100,100,78,0,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10228,Rohan Verma,Cloud & Platform,Contractor,P1,Vikram Rao,100,76,70.8,100,100,76,0,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10242,Arjun Sharma,Ai & Data Science,Senior Data Scientist,P2,Neha Singh,100,94,77.65,100,100,94,0,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10105,Vihaan Mehta,Domain Consulting,Consultant,P1,Meera Reddy,100,81,85.2,100,100,81,84,14,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10269,Sneha Sharma,Data Engineering,Data Engineer,P1,Amit Desai,100,92,74.95,100,100,92,0,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10153,Amit Pandey,Domain Consulting,Consultant,P1,Meera Reddy,100,81,88.65,100,100,81,80,54.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10179,Sai Mishra,Cloud & Platform,Contractor,P1,Vikram Rao,100,93,75.2,100,100,93,0,16,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10256,Sai Yadav,Bi & Analytics,Trainee,P1,Priya Sharma,100,86,72.7,100,100,86,0,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10139,Reyansh Rao,Data Engineering,Data Engineer,P1,Sneha Iyer,100,85,86.45,100,100,85,86,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10103,Sai Jain,Enterprise Applications,Developer,P1,Rohan Joshi,100,85,90.25,100,100,85,80,62.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10261,Kavya Mishra,Digital Engineering,Software Engineer,P1,Anjali Patel,100,81,77.45,100,100,81,0,62.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10119,Karan Verma,Enterprise Applications,Senior Developer,P2,Rohan Joshi,100,93,88.3,100,100,93,84,21,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10129,Ishaan Agarwal,Ai & Data Science,Data Scientist,P1,Neha Singh,100,81,85.4,100,100,81,82,19,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10169,Atharva Iyer,Domain Consulting,Senior Consultant,P2,Meera Reddy,100,89,86.65,100,100,89,82,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10136,Shruti Patel,Domain Consulting,Consultant,P1,Meera Reddy,100,86,86.35,100,100,86,90,6.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10161,Rohan Singh,Ai & Data Science,Senior Data Scientist,P2,Neha Singh,100,92,93.5,100,100,92,94,60,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10189,Rohan Kumar,Bi & Analytics,Analyst,P1,Priya Sharma,100,81,72.75,100,100,81,0,15.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10118,Priya Pillai,Enterprise Applications,Developer,P1,Rohan Joshi,100,88,85.4,100,100,88,82,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10148,Diya Chatterjee,Digital Engineering,Software Engineer,P1,Anjali Patel,100,86,86.2,100,100,86,88,8,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10168,Riya Joshi,Domain Consulting,Consultant,P1,Meera Reddy,100,76,83.7,100,100,76,86,6,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10276,Rohan Desai,Cloud & Platform,Contractor,P1,Vikram Rao,100,77,70.9,100,100,77,0,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10191,Amit Gupta,Bi & Analytics,Contractor,P1,Priya Sharma,100,93,79.6,100,100,93,0,60,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10285,Ananya Banerjee,Data Engineering,Trainee,P1,Amit Desai,100,81,72.6,100,100,81,0,14,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10205,Diya Bose,Data Engineering,Senior Data Engineer,P2,Amit Desai,100,89,73.9,100,100,89,0,11,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10155,Rahul Tiwari,Data Engineering,Data Engineer,P1,Sneha Iyer,100,93,87.3,100,100,93,84,11,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10186,Diya Mehta,Data Engineering,Senior Data Engineer,P2,Amit Desai,100,78,71.1,100,100,78,0,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10192,Sneha Reddy,Ai & Data Science,Data Scientist,P1,Neha Singh,100,77,74.4,100,100,77,0,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10127,Arjun Dubey,Bi & Analytics,Analyst,P1,Priya Sharma,100,85,85.6,100,100,85,84,10,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10295,Pooja Mehta,Enterprise Applications,Contractor,P1,Rohan Joshi,100,85,73.15,100,100,85,0,11.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10225,Diya Nair,Ai & Data Science,Trainee,P1,Neha Singh,100,81,72.35,100,100,81,0,11.5,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10217,Nidhi Kumar,Domain Consulting,Consultant,P1,Meera Reddy,100,89,73.5,100,100,89,0,7,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10215,Tanya Sharma,Enterprise Applications,Developer,P1,Rohan Joshi,100,93,75,100,100,93,0,14,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10202,Aditya Yadav,Domain Consulting,Consultant,P1,Meera Reddy,100,88,76.75,100,100,88,0,41.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10158,Anjali Shah,Bi & Analytics,Analyst,P1,Karan Gupta,100,94,86.5,100,100,94,82,4,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10293,Nidhi Jain,Digital Engineering,Software Engineer,P1,Anjali Patel,100,92,78.6,100,100,92,0,52,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10292,Reyansh Agarwal,Cloud & Platform,Cloud Engineer,P1,Vikram Rao,100,86,76.35,100,100,86,0,41.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10232,Rahul Bose,Enterprise Applications,Developer,P1,Rohan Joshi,100,86,76.2,100,100,86,0,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10198,Neha Menon,Enterprise Applications,Contractor,P1,Rohan Joshi,100,78,71,100,100,78,0,4,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10238,Rohan Agarwal,Bi & Analytics,Analyst,P1,Priya Sharma,100,88,73,100,100,88,0,4,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10117,Rahul Menon,Digital Engineering,Trainee,P1,Anjali Patel,100,81,84.8,100,100,81,86,7,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10287,Isha Das,Bi & Analytics,Senior Analyst,P2,Karan Gupta,100,93,74.55,100,100,93,0,9.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10176,Tanya Banerjee,Ai & Data Science,Trainee,P1,Neha Singh,100,90,73.5,100,100,90,0,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10174,Shruti Yadav,Bi & Analytics,Analyst,P1,Karan Gupta,100,78,74.6,100,100,78,0,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10145,Vivaan Pillai,Ai & Data Science,Senior Data Scientist,P2,Neha Singh,100,89,86.7,100,100,89,84,13,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10253,Tanya Menon,Data Engineering,Senior Data Engineer,P2,Amit Desai,100,89,77.6,100,100,89,0,48,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10109,Aarav Patel,Bi & Analytics,Analyst,P1,Priya Sharma,100,89,87.4,100,100,89,84,20,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10278,Aditya Iyer,Digital Engineering,Software Engineer,P1,Anjali Patel,100,94,74.2,100,100,94,0,4,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10264,Arjun Tiwari,Enterprise Applications,Senior Developer,P2,Rohan Joshi,100,76,74.2,100,100,76,0,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10162,Meera Kumar,Cloud & Platform,Cloud Engineer,P1,Vikram Rao,100,78,87.2,100,100,78,84,40,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10156,Priya Agarwal,Data Engineering,Senior Data Engineer,P2,Amit Desai,100,77,84.1,100,100,77,88,5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10252,Krishna Nair,Data Engineering,Data Engineer,P1,Sneha Iyer,100,77,74.25,100,100,77,0,38.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10183,Vivaan Agarwal,Enterprise Applications,Developer,P1,Rohan Joshi,100,83,76.4,100,100,83,0,48,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10102,Nidhi Agarwal,Enterprise Applications,Contractor,P1,Rohan Joshi,100,78,88.2,100,100,78,84,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10250,Ayaan Joshi,Domain Consulting,Consultant,P1,Meera Reddy,100,88,74.6,100,100,88,0,20,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10260,Vivaan Das,Cloud & Platform,Senior Cloud Engineer,P2,Vikram Rao,100,90,75.3,100,100,90,0,23,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10237,Neha Tiwari,Data Engineering,Trainee,P1,Amit Desai,100,81,71.85,100,100,81,0,6.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10180,Pooja Pandey,Digital Engineering,Lead Engineer,P2,Anjali Patel,100,77,72.7,100,100,77,0,23,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10124,Meera Das,Data Engineering,Data Engineer,P1,Amit Desai,100,86,90.7,100,100,86,90,50,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10267,Neha Shah,Data Engineering,Data Engineer,P1,Amit Desai,100,83,72.45,100,100,83,0,8.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10187,Arjun Sharma,Data Engineering,Data Engineer,P1,Sneha Iyer,100,85,72.75,100,100,85,0,7.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10170,Ananya Nair,Data Engineering,Data Engineer,P1,Amit Desai,100,94,88.3,100,100,94,84,19,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10291,Tanya Tiwari,Cloud & Platform,Trainee,P1,Vikram Rao,100,83,79.1,100,100,83,0,75,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10147,Aarav Yadav,Cloud & Platform,Cloud Engineer,P1,Vikram Rao,100,83,85.45,100,100,83,86,9.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10152,Neha Mishra,Domain Consulting,Senior Consultant,P2,Meera Reddy,100,90,89.95,100,100,90,84,43.5,1,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
E10281,Diya Pillai,Domain Consulting,Consultant,P1,Meera Reddy,100,92,79.15,100,100,92,0,57.5,0,TRUE,100% Free — First Timer,1,2026-06-10T12:56:37.672Z
