employee_id,employee_name,department,designation,grade,location,manager_name,is_manager,is_fresher,total_prior_exp_years,current_tenure_years,employee_scd_version,completeness_rate,effectiveness_score,engagement_score,skill_gap_index,verified_certs,eng_sig_completion_rate,eng_sig_pass_rate,eng_sig_avg_score,eng_sig_feedback,eng_sig_speed,total_courses,completed_courses,passed_courses,avg_learning_days,avg_days_to_complete,skills,skill_categories,distinct_skill_count,ready_skill_count,certifications,cert_vendors,total_certs,verified_cert_count,completed_course_ids,completed_course_domains,is_first_time_voucher,voucher_eligibility,agent_context_text,_view_refreshed_ts
E10374,Aditi Agarwal,Digital Engineering,Lead Engineer,P2,Bangalore,Anjali Patel,false,false,5.04,8.02,1,0.00,0,0,100.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Salesforce,Enterprise Apps,1,0,None,None,0,0,None,None,true,Not Eligible,"Aditi Agarwal (E10374) is a Lead Engineer in Digital Engineering at grade P2, reporting to Anjali Patel. Tenure: 8.0 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 100.00%. Verified certs: 0. Skills: Salesforce. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10068,Aditi Banerjee,Digital Engineering,Software Engineer,P1,Noida,Anjali Patel,false,false,2.04,4.08,1,50.00,84,49.7,100.00,2,50.00,50.00,42,88,6,4,2,2,165,25,Java,Programming,1,0,"Enterprise Agile Frameworks Certificate, Delta Lake Core Certification","Databricks, Coursera",2,2,C1021_DB,Data & BI,true,100% Free — First Timer,"Aditi Banerjee (E10068) is a Software Engineer in Digital Engineering at grade P1, reporting to Anjali Patel. Tenure: 4.1 yrs. Completed 2/4 courses. Effectiveness score: 84.0/100. Engagement score: 49.7/100 (completion=50.00%, pass=50.00%, score=42.0, feedback=88.0, speed=6.0). Skill gap index: 100.00%. Verified certs: 2. Skills: Java. Certifications: Enterprise Agile Frameworks Certificate, Delta Lake Core Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10259,Aditi Bose,Cloud & Platform,Cloud Engineer,P1,Bangalore,Vikram Rao,false,false,2,4.57,1,100.00,85,73.55,0.00,1,100.00,100.00,85,0,15.5,1,1,1,626,26,Cloud Native,Cloud & DevOps,1,1,Azure Data Fundamentals DP-900,Microsoft,1,1,C1151_MS,Microsoft / Office,true,100% Free — First Timer,"Aditi Bose (E10259) is a Cloud Engineer in Cloud & Platform at grade P1, reporting to Vikram Rao. Tenure: 4.6 yrs. Completed 1/1 courses. Effectiveness score: 85.0/100. Engagement score: 73.55/100 (completion=100.00%, pass=100.00%, score=85.0, feedback=0.0, speed=15.5). Skill gap index: 0.00%. Verified certs: 1. Skills: Cloud Native. Certifications: Azure Data Fundamentals DP-900. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10413,Aditi Joshi,Data Engineering,Data Engineer,P1,Chennai,Amit Desai,false,false,2.04,4.25,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Power BI,Visualization & BI,1,1,None,None,0,0,None,None,true,Not Eligible,"Aditi Joshi (E10413) is a Data Engineer in Data Engineering at grade P1, reporting to Amit Desai. Tenure: 4.3 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Power BI. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10144,Aditi Menon,Ai & Data Science,Data Scientist,P1,Bangalore,Neha Singh,false,false,2.02,5.3,1,100.00,76,89,0.00,1,100.00,100.00,76,92,50,2,2,2,349,20,Machine Learning,Data & Analytics,1,1,Enterprise Agile Frameworks Certificate,Coursera,1,1,C1431_CR,Core / Compliance,true,100% Free — First Timer,"Aditi Menon (E10144) is a Data Scientist in Ai & Data Science at grade P1, reporting to Neha Singh. Tenure: 5.3 yrs. Completed 2/2 courses. Effectiveness score: 76.0/100. Engagement score: 89.0/100 (completion=100.00%, pass=100.00%, score=76.0, feedback=92.0, speed=50.0). Skill gap index: 0.00%. Verified certs: 1. Skills: Machine Learning. Certifications: Enterprise Agile Frameworks Certificate. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10451,Aditi Pandey,Ai & Data Science,Data Scientist,P1,Pune,Neha Singh,false,false,2.01,6.38,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Cloud Native,Cloud & DevOps,1,1,None,None,0,0,None,None,true,Not Eligible,"Aditi Pandey (E10451) is a Data Scientist in Ai & Data Science at grade P1, reporting to Neha Singh. Tenure: 6.4 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Cloud Native. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10336,Aditi Pillai,Bi & Analytics,Senior Analyst,P2,Pune,Karan Gupta,false,false,5.04,7.89,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Machine Learning,Data & Analytics,1,1,None,None,0,0,None,None,true,Not Eligible,"Aditi Pillai (E10336) is a Senior Analyst in Bi & Analytics at grade P2, reporting to Karan Gupta. Tenure: 7.9 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Machine Learning. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10221,Aditi Rao,Data Engineering,Data Engineer,P1,Pune,Amit Desai,false,false,2.04,5.98,1,100.00,92,79.9,0.00,1,100.00,100.00,92,0,65,1,1,1,536,23,Power BI,Visualization & BI,1,1,Azure OpenAI Architect Certification,Microsoft,1,1,C1251_MS,Microsoft / Office,true,100% Free — First Timer,"Aditi Rao (E10221) is a Data Engineer in Data Engineering at grade P1, reporting to Amit Desai. Tenure: 6.0 yrs. Completed 1/1 courses. Effectiveness score: 92.0/100. Engagement score: 79.9/100 (completion=100.00%, pass=100.00%, score=92.0, feedback=0.0, speed=65.0). Skill gap index: 0.00%. Verified certs: 1. Skills: Power BI. Certifications: Azure OpenAI Architect Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10489,Aditi Reddy,Enterprise Applications,Contractor,P1,Bangalore,Rohan Joshi,false,false,2.04,4.52,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Retail Insights,Domain / Industry,1,1,None,None,0,0,None,None,true,Not Eligible,"Aditi Reddy (E10489) is a Contractor in Enterprise Applications at grade P1, reporting to Rohan Joshi. Tenure: 4.5 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Retail Insights. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10030,Aditi Reddy,Enterprise Applications,Senior Developer,P2,Hyderabad,Rohan Joshi,false,false,3.16,8.79,1,50.00,82,52.6,0.00,2,50.00,50.00,41,82,46,4,2,2,76,26,Power Apps,Visualization & BI,1,1,"Databricks Lakehouse Fundamentals Certification, Digital Transformation Strategy Certificate","Databricks, Coursera",2,2,C1441_CR,Core / Compliance,true,100% Free — First Timer,"Aditi Reddy (E10030) is a Senior Developer in Enterprise Applications at grade P2, reporting to Rohan Joshi. Tenure: 8.8 yrs. Completed 2/4 courses. Effectiveness score: 82.0/100. Engagement score: 52.6/100 (completion=50.00%, pass=50.00%, score=41.0, feedback=82.0, speed=46.0). Skill gap index: 0.00%. Verified certs: 2. Skills: Power Apps. Certifications: Databricks Lakehouse Fundamentals Certification, Digital Transformation Strategy Certificate. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10106,Aditi Sharma,Data Engineering,Data Engineer,P1,Pune,Amit Desai,false,false,2.04,5.06,1,100.00,88,86.75,100.00,1,100.00,100.00,88,90,6.5,2,2,2,256,20,Databricks,Data & Analytics,1,0,Databricks Lakehouse Fundamentals Certification,Databricks,1,1,C1001_DB,Data & BI,true,100% Free — First Timer,"Aditi Sharma (E10106) is a Data Engineer in Data Engineering at grade P1, reporting to Amit Desai. Tenure: 5.1 yrs. Completed 2/2 courses. Effectiveness score: 88.0/100. Engagement score: 86.75/100 (completion=100.00%, pass=100.00%, score=88.0, feedback=90.0, speed=6.5). Skill gap index: 100.00%. Verified certs: 1. Skills: Databricks. Certifications: Databricks Lakehouse Fundamentals Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10297,Aditi Singh,Domain Consulting,Senior Consultant,P2,Chennai,Meera Reddy,false,false,5.04,7.72,1,100.00,81,71.8,0.00,0,100.00,100.00,81,0,6,1,1,1,718,25,Retail Insights,Domain / Industry,1,1,Delta Lake Core Certification,Databricks,1,0,C1021_DB,Data & BI,true,100% Free — First Timer,"Aditi Singh (E10297) is a Senior Consultant in Domain Consulting at grade P2, reporting to Meera Reddy. Tenure: 7.7 yrs. Completed 1/1 courses. Effectiveness score: 81.0/100. Engagement score: 71.8/100 (completion=100.00%, pass=100.00%, score=81.0, feedback=0.0, speed=6.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Retail Insights. Certifications: Delta Lake Core Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10182,Aditi Tiwari,Enterprise Applications,Trainee,P1,Chennai,Rohan Joshi,false,true,0.53,2.97,1,100.00,94,77.65,100.00,1,100.00,100.00,94,0,38.5,1,1,1,444,26,Salesforce,Enterprise Apps,1,0,Azure Cloud Administration Certification,Microsoft,1,1,C1201_MS,Microsoft / Office,true,100% Free — First Timer,"Aditi Tiwari (E10182) is a Trainee in Enterprise Applications at grade P1, reporting to Rohan Joshi. Tenure: 3.0 yrs. Completed 1/1 courses. Effectiveness score: 94.0/100. Engagement score: 77.65/100 (completion=100.00%, pass=100.00%, score=94.0, feedback=0.0, speed=38.5). Skill gap index: 100.00%. Verified certs: 1. Skills: Salesforce. Certifications: Azure Cloud Administration Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10393,Aditya Chatterjee,Enterprise Applications,Developer,P1,Mumbai,Rohan Joshi,false,false,2.02,6.15,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Retail Insights,Domain / Industry,1,1,None,None,0,0,None,None,true,Not Eligible,"Aditya Chatterjee (E10393) is a Developer in Enterprise Applications at grade P1, reporting to Rohan Joshi. Tenure: 6.2 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Retail Insights. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10355,Aditya Gupta,Ai & Data Science,Senior Data Scientist,P2,Hyderabad,Neha Singh,false,false,5.04,7.97,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Cloud Native,Cloud & DevOps,1,1,None,None,0,0,None,None,true,Not Eligible,"Aditya Gupta (E10355) is a Senior Data Scientist in Ai & Data Science at grade P2, reporting to Neha Singh. Tenure: 8.0 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Cloud Native. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10278,Aditya Iyer,Digital Engineering,Software Engineer,P1,Mumbai,Anjali Patel,false,false,2.02,5.65,1,100.00,94,74.2,100.00,1,100.00,100.00,94,0,4,1,1,1,668,25,Salesforce,Enterprise Apps,1,0,Databricks SQL Certification,Databricks,1,1,C1031_DB,Data & BI,true,100% Free — First Timer,"Aditya Iyer (E10278) is a Software Engineer in Digital Engineering at grade P1, reporting to Anjali Patel. Tenure: 5.7 yrs. Completed 1/1 courses. Effectiveness score: 94.0/100. Engagement score: 74.2/100 (completion=100.00%, pass=100.00%, score=94.0, feedback=0.0, speed=4.0). Skill gap index: 100.00%. Verified certs: 1. Skills: Salesforce. Certifications: Databricks SQL Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10049,Aditya Jain,Ai & Data Science,Senior Data Scientist,P2,Noida,Neha Singh,false,false,4.54,8.39,1,50.00,0,34.95,0.00,2,50.00,0.00,0,94,58.5,4,2,0,123,24,NLP,Data & Analytics,1,1,"Cognitive Services Certification, Healthcare Analytics Certificate","Coursera, Microsoft",2,2,C1261_MS,Microsoft / Office,true,100% Free — First Timer,"Aditya Jain (E10049) is a Senior Data Scientist in Ai & Data Science at grade P2, reporting to Neha Singh. Tenure: 8.4 yrs. Completed 2/4 courses. Effectiveness score: 0.0/100. Engagement score: 34.95/100 (completion=50.00%, pass=0.00%, score=0.0, feedback=94.0, speed=58.5). Skill gap index: 0.00%. Verified certs: 2. Skills: NLP. Certifications: Cognitive Services Certification, Healthcare Analytics Certificate. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10087,Aditya Joshi,Enterprise Applications,Developer,P1,Noida,Rohan Joshi,false,false,2.08,5.12,1,50.00,90,50.05,0.00,2,50.00,50.00,45,84,9.5,4,2,2,212,21,Power Apps,Visualization & BI,1,1,"Cloud Native Architecture Certificate, PySpark Basic Certification","Databricks, Coursera",2,2,C1011_DB,Data & BI,true,100% Free — First Timer,"Aditya Joshi (E10087) is a Developer in Enterprise Applications at grade P1, reporting to Rohan Joshi. Tenure: 5.1 yrs. Completed 2/4 courses. Effectiveness score: 90.0/100. Engagement score: 50.05/100 (completion=50.00%, pass=50.00%, score=45.0, feedback=84.0, speed=9.5). Skill gap index: 0.00%. Verified certs: 2. Skills: Power Apps. Certifications: Cloud Native Architecture Certificate, PySpark Basic Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10011,Aditya Menon,Data Engineering,Data Engineer,P1,Bangalore,Amit Desai,false,false,1.67,6.31,1,50.00,82,49.7,0.00,2,50.00,50.00,41,88,8,4,2,2,36,19,PySpark,Data & Analytics,1,1,Delta Lake Core Certification,Databricks,2,2,C1021_DB,Data & BI,true,100% Free — First Timer,"Aditya Menon (E10011) is a Data Engineer in Data Engineering at grade P1, reporting to Amit Desai. Tenure: 6.3 yrs. Completed 2/4 courses. Effectiveness score: 82.0/100. Engagement score: 49.7/100 (completion=50.00%, pass=50.00%, score=41.0, feedback=88.0, speed=8.0). Skill gap index: 0.00%. Verified certs: 2. Skills: PySpark. Certifications: Delta Lake Core Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10125,Aditya Mishra,Bi & Analytics,Senior Analyst,P2,Hyderabad,Priya Sharma,false,false,5.04,7.07,1,100.00,92,87.75,0.00,1,100.00,100.00,92,86,14.5,2,2,2,302,19,Power BI,Visualization & BI,1,1,Healthcare Analytics Certificate,Coursera,1,1,C1301_CR,Core / Compliance,true,100% Free — First Timer,"Aditya Mishra (E10125) is a Senior Analyst in Bi & Analytics at grade P2, reporting to Priya Sharma. Tenure: 7.1 yrs. Completed 2/2 courses. Effectiveness score: 92.0/100. Engagement score: 87.75/100 (completion=100.00%, pass=100.00%, score=92.0, feedback=86.0, speed=14.5). Skill gap index: 0.00%. Verified certs: 1. Skills: Power BI. Certifications: Healthcare Analytics Certificate. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10317,Aditya Pandey,Data Engineering,Contractor,P1,Noida,Sneha Iyer,false,false,2,4.79,1,0.00,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,0,0,Power BI,Visualization & BI,1,1,None,None,0,0,None,None,true,Not Eligible,"Aditya Pandey (E10317) is a Contractor in Data Engineering at grade P1, reporting to Sneha Iyer. Tenure: 4.8 yrs. Completed 0/0 courses. Effectiveness score: 0.0/100. Engagement score: 0.0/100 (completion=0.00%, pass=0.00%, score=0.0, feedback=0.0, speed=0.0). Skill gap index: 0.00%. Verified certs: 0. Skills: Power BI. Certifications: None. First-time voucher applicant: true. Voucher eligibility: Not Eligible.",2026-06-10T12:52:39.922Z
E10163,Aditya Patel,Cloud & Platform,Senior Cloud Engineer,P2,Mumbai,Vikram Rao,false,false,5.01,6.87,1,100.00,85,89.3,0.00,1,100.00,100.00,85,82,50,2,2,2,397,25,Cloud Native,Cloud & DevOps,1,1,Cloud Native Architecture Certificate,Coursera,1,1,C1401_CR,Core / Compliance,true,100% Free — First Timer,"Aditya Patel (E10163) is a Senior Cloud Engineer in Cloud & Platform at grade P2, reporting to Vikram Rao. Tenure: 6.9 yrs. Completed 2/2 courses. Effectiveness score: 85.0/100. Engagement score: 89.3/100 (completion=100.00%, pass=100.00%, score=85.0, feedback=82.0, speed=50.0). Skill gap index: 0.00%. Verified certs: 1. Skills: Cloud Native. Certifications: Cloud Native Architecture Certificate. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
E10240,Aditya Shah,Bi & Analytics,Contractor,P1,Hyderabad,Priya Sharma,false,false,2.01,3.57,1,100.00,77,72.7,0.00,1,100.00,100.00,77,0,23,1,1,1,579,26,Machine Learning,Data & Analytics,1,1,Azure Synapse Analytics Certification,Microsoft,1,1,C1161_MS,Microsoft / Office,true,100% Free — First Timer,"Aditya Shah (E10240) is a Contractor in Bi & Analytics at grade P1, reporting to Priya Sharma. Tenure: 3.6 yrs. Completed 1/1 courses. Effectiveness score: 77.0/100. Engagement score: 72.7/100 (completion=100.00%, pass=100.00%, score=77.0, feedback=0.0, speed=23.0). Skill gap index: 0.00%. Verified certs: 1. Skills: Machine Learning. Certifications: Azure Synapse Analytics Certification. First-time voucher applicant: true. Voucher eligibility: 100% Free — First Timer.",2026-06-10T12:52:39.922Z
