employee_id,employee_name,department,designation,grade,location,manager_name,current_tenure_years,is_manager,is_fresher,total_prior_exp_years,employee_version_from,employee_scd_version,completeness_rate,effectiveness_score,engagement_score,eng_sig_completion_rate,eng_sig_pass_rate,eng_sig_avg_score,eng_sig_feedback,eng_sig_speed,skill_gap_index,verified_certs,total_courses,completed_courses,passed_courses,total_skills,fully_ready_skills,verified_skills,total_certs,avg_learning_days,avg_days_to_complete,courses_recommended,is_first_time_voucher,voucher_eligibility,_view_refreshed_ts
E10068,Aditi Banerjee,Digital Engineering,Software Engineer,P1,Noida,Anjali Patel,4.08,FALSE,FALSE,2.04,10-06-2026,1,50,84,49.7,50,50,42,88,6,100,2,4,2,2,1,0,0,2,165,25,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10259,Aditi Bose,Cloud & Platform,Cloud Engineer,P1,Bangalore,Vikram Rao,4.57,FALSE,FALSE,2,10-06-2026,1,100,85,73.55,100,100,85,0,15.5,0,1,1,1,1,1,1,1,1,626,26,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10413,Aditi Joshi,Data Engineering,Data Engineer,P1,Chennai,Amit Desai,4.25,FALSE,FALSE,2.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10144,Aditi Menon,Ai & Data Science,Data Scientist,P1,Bangalore,Neha Singh,5.3,FALSE,FALSE,2.02,10-06-2026,1,100,76,89,100,100,76,92,50,0,1,2,2,2,1,1,1,1,349,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10451,Aditi Pandey,Ai & Data Science,Data Scientist,P1,Pune,Neha Singh,6.38,FALSE,FALSE,2.01,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10336,Aditi Pillai,Bi & Analytics,Senior Analyst,P2,Pune,Karan Gupta,7.89,FALSE,FALSE,5.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10221,Aditi Rao,Data Engineering,Data Engineer,P1,Pune,Amit Desai,5.98,FALSE,FALSE,2.04,10-06-2026,1,100,92,79.9,100,100,92,0,65,0,1,1,1,1,1,1,1,1,536,23,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10489,Aditi Reddy,Enterprise Applications,Contractor,P1,Bangalore,Rohan Joshi,4.52,FALSE,FALSE,2.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10030,Aditi Reddy,Enterprise Applications,Senior Developer,P2,Hyderabad,Rohan Joshi,8.79,FALSE,FALSE,3.16,10-06-2026,1,50,82,52.6,50,50,41,82,46,0,2,4,2,2,1,1,1,2,76,26,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10106,Aditi Sharma,Data Engineering,Data Engineer,P1,Pune,Amit Desai,5.06,FALSE,FALSE,2.04,10-06-2026,1,100,88,86.75,100,100,88,90,6.5,100,1,2,2,2,1,0,0,1,256,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10297,Aditi Singh,Domain Consulting,Senior Consultant,P2,Chennai,Meera Reddy,7.72,FALSE,FALSE,5.04,10-06-2026,1,100,81,71.8,100,100,81,0,6,0,0,1,1,1,1,1,1,1,718,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10182,Aditi Tiwari,Enterprise Applications,Trainee,P1,Chennai,Rohan Joshi,2.97,FALSE,TRUE,0.53,10-06-2026,1,100,94,77.65,100,100,94,0,38.5,100,1,1,1,1,1,0,0,1,444,26,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10393,Aditya Chatterjee,Enterprise Applications,Developer,P1,Mumbai,Rohan Joshi,6.15,FALSE,FALSE,2.02,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10355,Aditya Gupta,Ai & Data Science,Senior Data Scientist,P2,Hyderabad,Neha Singh,7.97,FALSE,FALSE,5.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10278,Aditya Iyer,Digital Engineering,Software Engineer,P1,Mumbai,Anjali Patel,5.65,FALSE,FALSE,2.02,10-06-2026,1,100,94,74.2,100,100,94,0,4,100,1,1,1,1,1,0,0,1,668,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10049,Aditya Jain,Ai & Data Science,Senior Data Scientist,P2,Noida,Neha Singh,8.39,FALSE,FALSE,4.54,10-06-2026,1,50,0,34.95,50,0,0,94,58.5,0,2,4,2,0,1,1,1,2,123,24,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10087,Aditya Joshi,Enterprise Applications,Developer,P1,Noida,Rohan Joshi,5.12,FALSE,FALSE,2.08,10-06-2026,1,50,90,50.05,50,50,45,84,9.5,0,2,4,2,2,1,1,1,2,212,21,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10011,Aditya Menon,Data Engineering,Data Engineer,P1,Bangalore,Amit Desai,6.31,FALSE,FALSE,1.67,10-06-2026,1,50,82,49.7,50,50,41,88,8,0,2,4,2,2,1,1,1,2,36,19,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10125,Aditya Mishra,Bi & Analytics,Senior Analyst,P2,Hyderabad,Priya Sharma,7.07,FALSE,FALSE,5.04,10-06-2026,1,100,92,87.75,100,100,92,86,14.5,0,1,2,2,2,1,1,1,1,302,19,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10317,Aditya Pandey,Data Engineering,Contractor,P1,Noida,Sneha Iyer,4.79,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10163,Aditya Patel,Cloud & Platform,Senior Cloud Engineer,P2,Mumbai,Vikram Rao,6.87,FALSE,FALSE,5.01,10-06-2026,1,100,85,89.3,100,100,85,82,50,0,1,2,2,2,1,1,1,1,397,25,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10240,Aditya Shah,Bi & Analytics,Contractor,P1,Hyderabad,Priya Sharma,3.57,FALSE,FALSE,2.01,10-06-2026,1,100,77,72.7,100,100,77,0,23,0,1,1,1,1,1,1,1,1,579,26,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10432,Aditya Singh,Bi & Analytics,Analyst,P1,Noida,Priya Sharma,6.34,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10470,Aditya Verma,Cloud & Platform,Contractor,P1,Hyderabad,Vikram Rao,4.49,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10202,Aditya Yadav,Domain Consulting,Consultant,P1,Noida,Meera Reddy,3.56,FALSE,FALSE,2.04,10-06-2026,1,100,88,76.75,100,100,88,0,41.5,100,1,1,1,1,1,0,0,1,491,24,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10422,Amit Bose,Cloud & Platform,Contractor,P1,Hyderabad,Vikram Rao,4.49,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10230,Amit Chatterjee,Digital Engineering,Software Engineer,P1,Mumbai,Anjali Patel,5.56,FALSE,FALSE,2.04,10-06-2026,1,100,94,75.7,100,100,94,0,19,100,1,1,1,1,1,0,0,1,557,26,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10001,Amit Desai,Data Engineering,Manager,M1,Bangalore,Ramesh Rao,11.02,TRUE,FALSE,5.95,10-06-2026,1,50,85,52,50,50,42.5,90,25,0,2,4,2,2,2,2,2,2,10,5,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10345,Amit Dubey,Enterprise Applications,Developer,P1,Mumbai,Rohan Joshi,6.15,FALSE,FALSE,2.02,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10191,Amit Gupta,Bi & Analytics,Contractor,P1,Hyderabad,Priya Sharma,4.16,FALSE,FALSE,2,10-06-2026,1,100,93,79.6,100,100,93,0,60,100,0,1,1,1,1,0,0,1,465,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10115,Amit Iyer,Cloud & Platform,Senior Cloud Engineer,P2,Mumbai,Vikram Rao,7.13,FALSE,FALSE,5.04,10-06-2026,1,100,85,86,100,100,85,84,14,0,0,2,2,2,1,1,1,1,278,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10268,Amit Mehta,Data Engineering,Contractor,P1,Noida,Sneha Iyer,4.79,FALSE,FALSE,2,10-06-2026,1,100,86,72.8,100,100,86,0,6,100,1,1,1,1,1,0,0,1,646,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10307,Amit Nair,Ai & Data Science,Senior Data Scientist,P2,Hyderabad,Neha Singh,7.97,FALSE,FALSE,5.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10153,Amit Pandey,Domain Consulting,Consultant,P1,Noida,Meera Reddy,3.97,FALSE,FALSE,2.01,10-06-2026,1,100,81,88.65,100,100,81,80,54.5,0,1,2,2,2,1,1,1,1,375,23,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10460,Amit Patel,Domain Consulting,Senior Consultant,P2,Mumbai,Meera Reddy,7.64,FALSE,FALSE,5.01,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10383,Amit Reddy,Bi & Analytics,Analyst,P1,Noida,Priya Sharma,6.34,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10077,Amit Shah,Bi & Analytics,Senior Analyst,P2,Chennai,Priya Sharma,7.49,FALSE,FALSE,4.04,10-06-2026,1,50,88,49.9,50,50,44,86,7,0,1,4,2,2,1,1,1,2,187,21,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10039,Amit Yadav,Cloud & Platform,Contractor,P1,Noida,Vikram Rao,3.74,FALSE,FALSE,2.35,10-06-2026,1,50,94,53.35,50,50,47,84,38.5,0,2,4,2,2,1,1,1,2,99,26,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10285,Ananya Banerjee,Data Engineering,Trainee,P1,Chennai,Amit Desai,2.73,FALSE,TRUE,0.53,10-06-2026,1,100,81,72.6,100,100,81,0,14,100,1,1,1,1,1,0,0,1,686,20,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10094,Ananya Chatterjee,Bi & Analytics,Senior Analyst,P2,Pune,Karan Gupta,8.46,FALSE,FALSE,4.04,10-06-2026,1,75,90,72.7,75,75,67.5,92,41.5,0,2,4,3,3,1,1,1,2,160.33,18.67,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10209,Ananya Dubey,Ai & Data Science,Data Scientist,P1,Pune,Neha Singh,5.46,FALSE,FALSE,2.02,10-06-2026,1,100,92,75,100,100,92,0,16,0,0,1,1,1,1,1,1,1,505,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10056,Ananya Gupta,Domain Consulting,Senior Consultant,P2,Pune,Meera Reddy,6.91,FALSE,FALSE,4.12,10-06-2026,1,50,95,51,50,50,47.5,90,5,0,2,4,2,2,1,1,1,2,137,25,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10439,Ananya Joshi,Digital Engineering,Software Engineer,P1,Pune,Anjali Patel,4.39,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10132,Ananya Mehta,Digital Engineering,Lead Engineer,P2,Bangalore,Anjali Patel,8.35,FALSE,FALSE,4.97,10-06-2026,1,100,77,88.3,100,100,77,86,50,0,1,2,2,2,1,1,1,1,317,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10362,Ananya Menon,Domain Consulting,Consultant,P1,Bangalore,Meera Reddy,5.09,FALSE,FALSE,2.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10170,Ananya Nair,Data Engineering,Data Engineer,P1,Chennai,Amit Desai,4.41,FALSE,FALSE,2,10-06-2026,1,100,94,88.3,100,100,94,84,19,0,1,2,2,2,1,1,1,1,416,26,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10477,Ananya Pandey,Data Engineering,Senior Data Engineer,P2,Bangalore,Amit Desai,6.58,FALSE,FALSE,5.01,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10018,Ananya Pandey,Bi & Analytics,Trainee,P1,Bangalore,Karan Gupta,3.32,FALSE,TRUE,0.54,10-06-2026,1,50,77,50.1,50,50,38.5,74,38,100,2,4,2,2,1,0,0,2,50,21,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10247,Ananya Reddy,Enterprise Applications,Contractor,P1,Bangalore,Rohan Joshi,4.69,FALSE,FALSE,2.04,10-06-2026,1,100,85,72.8,100,100,85,0,8,0,1,1,1,1,1,1,1,1,597,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10324,Ananya Sharma,Cloud & Platform,Cloud Engineer,P1,Pune,Vikram Rao,3.93,FALSE,FALSE,2.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10427,Anjali Agarwal,Domain Consulting,Consultant,P1,Pune,Meera Reddy,4.42,FALSE,FALSE,1.96,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10312,Anjali Chatterjee,Enterprise Applications,Developer,P1,Pune,Rohan Joshi,5.91,FALSE,FALSE,2.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10273,Anjali Gupta,Ai & Data Science,Trainee,P1,Chennai,Neha Singh,2.7,FALSE,TRUE,0.53,10-06-2026,1,100,81,76.4,100,100,81,0,52,0,0,1,1,1,1,1,1,1,655,24,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10196,Anjali Iyer,Digital Engineering,Software Engineer,P1,Pune,Anjali Patel,3.97,FALSE,FALSE,2.01,10-06-2026,1,100,86,72.7,100,100,86,0,5,0,1,1,1,1,1,1,1,1,474,24,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10465,Anjali Joshi,Bi & Analytics,Analyst,P1,Bangalore,Karan Gupta,3.55,FALSE,FALSE,2.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10350,Anjali Mehta,Data Engineering,Senior Data Engineer,P2,Bangalore,Amit Desai,7.08,FALSE,FALSE,5.04,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10044,Anjali Mishra,Data Engineering,Senior Data Engineer,P2,Pune,Sneha Iyer,7.3,FALSE,FALSE,3.5,10-06-2026,1,50,85,49.1,50,50,42.5,82,8,0,2,4,2,2,1,1,1,2,110,25,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10388,Anjali Nair,Cloud & Platform,Trainee,P1,Chennai,Vikram Rao,3.25,FALSE,TRUE,0.54,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10235,Anjali Pandey,Data Engineering,Senior Data Engineer,P2,Bangalore,Amit Desai,6.58,FALSE,FALSE,5.01,10-06-2026,1,100,85,73.1,100,100,85,0,11,0,1,1,1,1,1,1,1,1,570,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10082,Anjali Patel,Cloud & Platform,Cloud Engineer,P1,Hyderabad,Vikram Rao,3.72,FALSE,FALSE,2.04,10-06-2026,1,50,83,52.75,50,50,41.5,84,43.5,0,2,4,2,2,2,2,2,2,202,23,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10008,Anjali Patel,Digital Engineering,Manager,M1,Noida,Anita Joshi,10.12,TRUE,FALSE,4.19,10-06-2026,1,50,76,53.65,50,50,38,82,62.5,0,1,4,2,2,1,1,1,2,33,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10158,Anjali Shah,Bi & Analytics,Analyst,P1,Chennai,Karan Gupta,5.15,FALSE,FALSE,2,10-06-2026,1,100,94,86.5,100,100,94,82,4,0,1,2,2,2,1,1,1,1,389,26,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10120,Anjali Yadav,Domain Consulting,Consultant,P1,Bangalore,Meera Reddy,5.24,FALSE,FALSE,2,10-06-2026,1,100,77,85.4,100,100,77,80,30,0,1,1,1,1,1,1,1,1,289,20,1,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10204,Arjun Banerjee,Data Engineering,Data Engineer,P1,Hyderabad,Sneha Iyer,5.79,FALSE,FALSE,2.02,10-06-2026,1,100,76,74.2,100,100,76,0,40,0,1,1,1,1,1,1,1,1,495,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10149,Arjun Banerjee,Digital Engineering,Senior Engineer,P2,Hyderabad,Anjali Patel,8.95,FALSE,FALSE,5.01,10-06-2026,1,100,92,88,100,100,92,84,20,0,1,2,2,2,1,1,1,1,362,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10395,Arjun Bose,Domain Consulting,Consultant,P1,Noida,Meera Reddy,4.31,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10341,Arjun Bose,Cloud & Platform,Cloud Engineer,P1,Noida,Vikram Rao,5.79,FALSE,FALSE,2.02,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10472,Arjun Chatterjee,Digital Engineering,Software Engineer,P1,Mumbai,Anjali Patel,5.65,FALSE,FALSE,2.02,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10013,Arjun Das,Data Engineering,Trainee,P1,Bangalore,Sneha Iyer,3.42,FALSE,TRUE,0.58,10-06-2026,1,50,87,49.45,50,50,43.5,84,6.5,100,1,4,2,2,1,0,0,2,39,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10127,Arjun Dubey,Bi & Analytics,Analyst,P1,Mumbai,Priya Sharma,5.31,FALSE,FALSE,2,10-06-2026,1,100,85,85.6,100,100,85,84,10,0,1,1,1,1,1,1,1,1,306,20,1,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10073,Arjun Dubey,Domain Consulting,Senior Consultant,P2,Bangalore,Meera Reddy,6.66,FALSE,FALSE,5.07,10-06-2026,1,50,79,53.65,50,50,39.5,80,62.5,0,2,4,2,2,1,1,1,2,177,20,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10051,Arjun Mehta,Cloud & Platform,Trainee,P1,Bangalore,Vikram Rao,3.16,FALSE,TRUE,0.45,10-06-2026,1,50,84,51.4,50,50,42,70,50,100,2,4,2,2,1,0,0,2,126,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10280,Arjun Menon,Enterprise Applications,Developer,P1,Noida,Rohan Joshi,4.79,FALSE,FALSE,2.04,10-06-2026,1,100,86,74.6,100,100,86,0,24,0,1,1,1,1,1,1,1,1,673,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10226,Arjun Menon,Ai & Data Science,Data Scientist,P1,Noida,Neha Singh,6.22,FALSE,FALSE,2,10-06-2026,1,100,88,73.1,100,100,88,0,5,0,1,1,1,1,1,1,1,1,548,25,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10089,Arjun Nair,Domain Consulting,Trainee,P1,Pune,Meera Reddy,2.55,FALSE,TRUE,0.46,10-06-2026,1,50,88,50.7,50,50,44,82,21,100,2,4,2,2,0,0,0,2,217,19,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10434,Arjun Patel,Bi & Analytics,Contractor,P1,Hyderabad,Priya Sharma,3.49,FALSE,FALSE,2.01,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10357,Arjun Rao,Cloud & Platform,Senior Cloud Engineer,P2,Mumbai,Vikram Rao,7.12,FALSE,FALSE,5.04,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10303,Arjun Rao,Bi & Analytics,Analyst,P1,Mumbai,Priya Sharma,3.62,FALSE,FALSE,2,10-06-2026,1,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
E10165,Arjun Reddy,Digital Engineering,Trainee,P1,Noida,Anjali Patel,3.35,FALSE,TRUE,0.5,10-06-2026,1,100,81,85.2,100,100,81,86,11,100,1,2,2,2,0,0,0,1,403,25,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10111,Arjun Reddy,Bi & Analytics,Trainee,P1,Noida,Priya Sharma,3.16,FALSE,TRUE,0.45,10-06-2026,1,100,83,93.15,100,100,83,96,71.5,100,1,2,2,2,1,0,0,1,268,21,2,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10242,Arjun Sharma,Ai & Data Science,Senior Data Scientist,P2,Mumbai,Neha Singh,6.81,FALSE,FALSE,5,10-06-2026,1,100,94,77.65,100,100,94,0,38.5,0,1,1,1,1,1,1,1,1,585,26,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10187,Arjun Sharma,Data Engineering,Data Engineer,P1,Mumbai,Sneha Iyer,4.62,FALSE,FALSE,2.04,10-06-2026,1,100,85,72.75,100,100,85,0,7.5,0,1,1,1,1,1,1,1,1,455,26,0,TRUE,100% Free — First Timer,2026-06-10T12:55:28.802Z
E10379,Arjun Singh,Domain Consulting,Trainee,P1,Hyderabad,Meera Reddy,2.97,FALSE,TRUE,0.53,10-06-2026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,TRUE,Not Eligible,2026-06-10T12:55:28.802Z
